node,lat,lon
937,61.49408758,23.75596069
943,5.6037168,-0.1869644
980,50.38311411,30.47065131
990,44.86301121,-0.55529761
1070,50.25361764,19.0029788
1075,47.3782202,8.5460844
1086,25.76602539,-100.1931493
1120,45.0906883,7.6608251
1135,52.3702157,4.8951679
1138,47.8224637,13.0405244
1146,46.5243169,6.6029132
1148,48.2698987,16.4089842
1151,35.9347588,-78.8794301
1154,50.1281415,8.6011068
1163,48.927166,2.3506638
1164,-30.0688963,-51.1206198
1165,55.9210249,23.2940681
1202,48.2134649,16.3564752
1203,38.7879226,-9.1236401
1206,45.7924358,15.9694131
1211,60.20640511,24.8950162
1213,25.0282605,55.1856957
1215,49.4492498,11.0139777
1217,49.9920506,8.2426214
1222,52.523444,13.3224154
1223,45.5038487,9.3534509
1224,22.3087422,39.10741478
1227,41.38718715,2.11108515
1228,48.8559152,2.3836812
1233,19.40016385,-99.2743234
1238,48.0792006,11.6458808
1239,56.9692587,24.1702776
1240,0.3144843,32.5842534
1242,52.1402053,11.6441991
1244,55.755826,37.6172999
1245,52.24703,6.001603
1253,51.5212588,-0.0719967
1273,47.2678133,11.4263775
1287,55.598323,13.0377873
1292,22.45343,114.187189
1304,52.3702157,4.8951679
1310,56.1091469,10.1627138
1339,19.76694088,-70.50933783
1349,35.6896342,139.69281953
1359,43.8577581,18.39777079
1360,49.42631922,8.35915723
1361,49.50707096,8.52663632
1364,-0.11355198,-78.47350627
1367,42.943447,13.8829543
1370,47.2703929,9.6053289
1373,42.4466228,-83.2568883
1374,39.1008094,-94.5811036
1378,51.5105384,-0.5950406
1379,48.7039885,6.1408527
1381,51.910353,4.5467266
1393,37.2415866,-121.7831415
1397,33.4162024,-112.0080739
1401,1.2952528,103.7900091
1402,51.5242061,-0.6351238
1403,50.0965986,8.5875079
1404,39.0163627,-77.4590225
1405,47.6217772,-122.3629748
1407,50.1398082,8.7431943
1410,47.4326816,8.5573111
1418,10.238839,-61.37337
1419,42.668544,23.395407
1430,48.1400465,11.5266098
1431,48.9269417,2.3506622
1437,47.557092,7.5889323
1440,49.2847575,-123.1121464
1441,37.6990014,-77.4362683
1444,-26.137891,28.1976125
1447,47.1568033,27.5891349
1448,45.7654292,21.2313662
1451,51.239208,-0.16988
1454,-23.6451486,-46.730636
1456,51.5232113,-0.1011476
1457,25.6251285,55.8088856
1461,41.8748745,12.4781296
1462,45.3806799,9.1648264
1469,46.975033,31.9945829
1475,35.7312536,139.7194156
1477,44.4207835,26.1025287
1487,53.4659609,-2.2930435
1488,46.4982953,11.3547582
1490,55.728092,12.3774821
1491,-33.9117762,151.1929422
1494,40.975522,29.098024
1498,49.0122422,8.4082049
1500,44.8001849,20.4649061
1501,55.6928166,13.2086185
1502,40.5569046,-74.4847346
1504,32.7872315,-96.794157
1505,47.6143474,-122.3388835
1509,51.3954727,12.3988051
1510,34.0581033,-118.2353742
1511,37.334188,-121.8914914
1512,41.9942563,-87.9619655
1518,33.7777175,-84.4208774
1519,25.7975372,-80.2301272
1521,43.6508826,-79.3617799
1522,48.9065203,2.3711084
1523,51.5203975,-0.0737773
1524,52.3908925,4.6647595
1525,50.12007,8.73561
1526,-33.9117762,151.1929422
1527,1.3218215,103.695253
1528,35.6208612,139.7448846
1560,37.4300473,-122.1733617
1561,41.7197222,44.7148647
1569,1.2951763,103.7880297
1576,49.28102296,-123.11780971
1577,45.5000828,-73.5653508
1582,37.4718094,-121.9201106
1583,37.4718094,-121.9201106
1597,52.38469,8.62412
1598,46.9999234,6.9493576
1605,-33.4183565,-70.5993464
1612,48.1075171,-1.6437736
1616,34.0475518,-118.2575729
1626,51.239208,-0.16988
1627,52.2808684,-0.8727565
1629,51.1882705,6.8677694
1633,43.4598942,11.8380349
1639,36.2604623,59.6167549
1640,51.9202586,4.4735018
1644,-6.866414,107.5927806
1645,51.7779581,-1.2701652
1651,48.7946957,2.4117285
1654,48.887975,2.214782
1655,52.3619025,5.6407227
1656,51.2196318,6.8071504
1663,53.0530241,-0.7857305
1667,46.5172206,6.6403302
1673,-34.1602376,-70.7593244
1679,45.5226232,-73.5204089
1680,47.5134206,7.6162501
1684,56.9911293,40.9891995
1686,50.0601642,14.482978
1688,48.471885,135.0573101
1690,-23.5799273,-46.6417132
1703,50.0820185,14.5333504
1705,46.0832956,14.4859426
1707,55.027946,82.940642
1714,52.2202997,6.8643376
1716,50.1109221,8.6821267
1733,19.3892489,-70.5235185
1736,1.29546,103.789783
1737,44.9714084,-93.2545804
1744,-33.4390748,-70.6455164
1745,51.5115583,-0.0009163
1747,48.7076206,9.1685734
1750,49.5041843,6.1119969
1751,55.5123921,9.5069081
1752,47.4464961,8.2110348
1756,45.7572536,4.899645
1778,52.9122044,-0.6429203
1782,40.45854,-87.662573
1783,51.9764366,5.968231
1785,50.1093,8.74229
1787,51.5234541,-0.6360912
1806,50.0494871,14.3307671
1809,51.1862032,7.2269892
1814,50.5558095,9.6808449
1816,34.6248198,50.8539679
1818,40.7772608,-74.0695593
1820,49.4519839,11.0769976
1822,38.9199543,-77.2115936
1823,55.7746315,37.6547806
1827,37.9922399,-1.1306544
1830,35.656705,139.80342
1831,24.7534603,46.6766447
1833,35.724517,51.3159602
1838,39.0219927,-77.4608979
1839,47.357522,9.4477722
1841,50.8752355,4.4995572
1842,50.8450804,4.7243853
1844,51.2673008,6.8175201
1845,34.047846,-118.255725
1846,1.29546,103.789783
1847,25.7760095,-80.1930802
1848,51.427755,-0.97925
1849,47.4093339,8.5448754
1850,52.109415,4.327361
1864,49.4521018,11.0766654
1865,50.139593,8.7429433
1866,40.4904686,-3.6910489
1868,65.0126435,25.4682528
1869,-23.4661188,-46.8631936
1870,52.0418212,-0.8201687
1880,32.786645,-96.7940781
1888,60.3416703,25.0276663
1891,49.5041843,6.1119969
1904,-33.9181984,151.1893
1907,51.5875352,4.3050551
1911,49.4494116,11.014143
1915,51.52036494,-0.624524
1921,52.0304689,113.502911
1922,52.2934123,4.9450801
1923,48.0019323,37.8395218
1925,41.853701,-87.618252
1926,35.6522452,139.790771
1927,-33.9213238,151.1880681
1938,-29.2318102,-61.7703431
1944,40.7778177,-74.0759086
1945,25.7758686,-80.1931295
1947,37.4820962,126.8797332
1948,49.5797474,6.1098375
1955,38.9628827,-77.3804421
1958,47.3768866,8.541694
1962,52.3924715,4.6637487
1963,50.1109221,8.6821267
1973,52.3365239,4.9318931
1974,-23.485198,-46.8362828
1975,-33.9181984,151.1893
1976,40.993267,28.8273319
1978,45.4486839,9.1474362
1981,32.0846913,34.8584755
1982,52.2276614,21.00425
1983,40.5813059,-3.5793711
1984,48.877009,2.3635156
1988,38.9506292,-77.364564
1989,-6.2094736,106.8207808
1990,51.499732,-0.01484
1991,45.0500362,9.738335
1994,52.1312777,21.065737
2018,1.3233821,103.9206987
2019,51.017328,2.156876
2020,48.16542,14.03664
2021,64.1453368,-21.907267
2024,48.7457001,9.1070098
2026,10.7882534,106.7028941
2036,50.0809788,14.4517755
2046,55.6621478,12.3001995
2057,45.30950244,-73.89436684
2061,52.42821,10.79209
2062,50.3986005,8.0795783
2067,53.5790087,-2.4392645
2068,47.8863988,106.9057439
2074,59.4296382,24.684187
2075,43.2082184,76.8996132
2083,1.323963,103.8916784
2084,-33.9213915,151.1881473
2085,48.8152394,2.4028701
2088,40.7433831,-74.007967
2091,38.7464553,-77.6737906
2095,55.801298,37.477039
2097,45.9426239,4.733175
2107,51.5235911,-0.1007844
2109,38.0810715,23.697774
2120,51.1674269,71.4186237
2121,50.3115195,57.1538615
2122,42.3197827,69.5977179
2123,47.1124955,51.9121447
2124,49.7932749,73.0849834
2125,44.842217,65.5012541
2126,52.2819565,76.9729682
2127,50.4111775,80.2515206
2128,42.9001714,71.3784105
2129,51.216823,51.3801165
2130,49.9530458,82.631483
2132,52.5385355,13.2380091
2141,52.4529565,13.4285599
2142,59.4570977,24.6930161
2143,48.1864969,11.5874255
2144,-36.8493458,174.7654121
2148,48.04788,8.20947
2156,50.0802774,14.5195484
2157,45.0382628,7.6516898
2158,38.11569,13.3614868
2159,45.4780107,9.1018238
2169,40.7176643,-74.0083332
2207,-12.0463731,-77.042754
2209,50.02954,10.5249999
2213,49.2099358,16.5989768
2215,47.4988196,8.7236889
2218,50.1137156,8.6954089
2219,-25.9751272,32.5771309
2220,-26.1365724,28.2021014
2228,37.5776394,126.8886338
2230,47.4931577,-122.2938323
2236,39.058289,-76.9645479
2237,49.5048055,6.112374
2240,59.887231,30.3291
2248,46.6160291,14.2652247
2253,52.2077836,20.8081434
2254,-33.3579911,-70.6762602
2263,42.3897371,-71.1475438
2269,49.1971726,16.6176942
2270,48.9525729,8.3909827
2273,52.3571608,4.9508821
2276,51.5115583,-0.0009163
2277,48.9280409,2.3520485
2284,59.3035703,18.0868692
2289,50.1017962,14.3907702
2291,48.2625435,11.6679877
2293,59.4571601,24.6931534
2294,42.6562037,23.3701737
2295,42.6932503,23.3241461
2296,53.4653587,-2.3091011
2298,34.0479152,-118.2557059
2303,49.57384,11.02773
2304,48.3582065,-4.5703774
2305,48.8562606,2.3835199
2306,48.7139654,8.7400598
2310,-8.9148859,13.1813434
2312,43.2082184,76.8996132
2314,34.1686537,-118.0890585
2328,25.073509,121.577712
2330,50.11995,8.73589
2332,-27.4655235,153.0296446
2334,-19.870682,-43.9677359
2335,44.117715,27.2590426
2336,51.0377067,13.7347646
2337,50.668081,4.6118324
2341,52.3106815,7.4401779
2343,47.5008806,8.7207455
2350,48.4663437,35.0591955
2360,52.24703,6.001603
2368,52.5389916,5.7022186
2373,37.4718094,-121.9201106
2376,37.471829,-121.920299
2377,43.2516782,76.9463107
2378,37.4718094,-121.9201106
2379,39.618102,-104.8915092
2380,53.6119436,10.0254496
2383,37.9733794,23.7455077
2385,50.451128,30.445379
2387,-1.3281445,36.8666473
2397,49.2550284,7.040975
2421,4.1754959,73.5093474
2422,49.065783,33.410033
2423,50.11893,8.73518
2426,46.0499684,14.4604834
2434,43.7696101,-79.3309046
2437,50.8710479,4.4763689
2470,49.2845116,-123.1116016
2471,25.1308322,56.33641
2473,-33.9181984,151.1893
2474,-23.4935247,-46.8093581
2475,4.67135,-74.1619252
2478,59.9158102,10.7414967
2479,48.871365,2.289661
2481,52.3548837,4.9591573
2483,50.1199637,8.7357106
2484,40.4479561,-3.5740775
2485,48.9280409,2.3520485
2487,25.0329694,121.5654177
2488,59.9096851,30.4104513
2490,48.104691,11.600206
2492,40.740727,-74.0020673
2493,22.365483,114.1193175
2494,52.3547244,4.961308
2496,59.4224709,17.9180728
2497,1.2951663,103.7898406
2498,25.0756131,121.5761848
2499,42.0010976,-87.9548634
2500,32.8002967,-96.8195254
2501,34.0487865,-118.2593775
2502,25.7823647,-80.1931295
2503,51.5234541,-0.6360912
2504,47.6144252,-122.3397368
2505,37.2418698,-121.7816047
2506,39.0208636,-77.4512935
2507,-26.138037,28.1975446
2512,53.887181,27.4580258
2514,47.5124986,7.6154363
2515,51.5452146,9.930054
2519,19.0696137,72.871348
2522,59.3293235,18.0685808
2523,28.5428603,77.2401945
2524,39.0972116,-94.5672382
2525,-36.8493077,174.7654655
2526,35.617458,139.748057
2528,39.3809028,-119.9277947
2535,38.9505844,-77.3644027
2536,47.6136997,-122.3381933
2537,39.1373892,-94.5786447
2538,40.7854228,-74.0752848
2539,40.439395,-3.6210084
2541,43.653226,-79.3831843
2543,10.31752,123.9073363
2545,43.3940733,24.6220771
2549,52.3514109,7.4777679
2553,37.4718094,-121.9201106
2560,37.4718094,-121.9201106
2581,25.0264601,55.1868599
2582,25.0264601,55.1868599
2599,13.7267124,100.5146131
2607,47.4495228,8.5404254
2609,1.3240179,103.8915812
2617,43.6609605,-79.3997198
2651,51.2673008,6.8175201
2652,46.4764952,30.7258932
2655,13.4644712,144.6934957
2659,55.9210249,23.2940681
2668,24.716945,46.643329
2669,40.765796,29.789554
2708,-26.138037,28.1975446
2710,42.9777885,47.5146913
2714,-37.8215067,145.3145861
2716,38.8976344,-77.0458772
2720,36.0427031,-94.1685005
2726,53.5510053,10.038666
2729,50.0968833,8.6441701
2731,37.4718094,-121.9201106
2733,43.6508291,-79.3620133
2734,51.5224625,-0.6290497
2735,1.3218215,103.695253
2736,50.12007,8.73561
2737,52.3548837,4.9591573
2738,12.9715987,77.5945627
2740,51.5211441,-0.0720185
2743,53.4985109,14.5926809
2747,40.7127753,-74.0059728
2748,37.3541079,-121.9552356
2753,48.9280308,2.3520324
2756,1.352083,103.819836
2761,3.139003,101.686855
2762,47.2778747,11.5031339
2774,35.6397371,139.7923616
2782,53.3342499,-6.3655434
2784,42.1185351,3.129294
2788,40.9935893,28.8258397
2791,43.6198786,1.4212746
2794,54.3232927,10.1227652
2797,50.0594847,14.4796791
2799,49.4521018,11.0766654
2810,48.268991,16.4106437
2812,47.7920256,13.0106587
2813,50.7832007,6.1344538
2816,51.9870276,5.9339889
2817,-41.2923814,174.7787463
2819,50.8229383,4.3689499
2821,51.2673008,6.8175201
2822,49.5845783,6.2256543
2825,25.0264601,55.1868599
2826,53.736687,10.0839485
2827,36.2387611,44.0082264
2833,40.4393233,-3.6212106
2842,-22.269224,166.460824
2847,52.9886973,-1.1742916
2849,-25.0949222,-50.1038869
2852,52.3924715,4.6637487
2855,52.543666,5.705215
2858,48.9093833,2.3674719
2859,47.3780633,8.4968216
2860,35.7271652,51.4257572
2862,59.887231,30.3291
2873,1.352083,103.819836
2876,32.9918474,-96.9300035
2877,50.1396084,8.7433378
2879,14.5568322,121.0212171
2881,22.3622845,114.1192183
2884,52.3329076,4.919533
2894,50.096109,8.6284112
2896,59.3909289,17.8752145
2898,35.622214,139.747765
2899,48.1930923,16.3920025
2904,47.6143474,-122.3388835
2909,13.0981483,101.10923
2914,40.5802787,-122.4012261
2917,47.6439736,6.843583
2934,4.0510564,9.7678687
2950,9.7333906,-63.1914317
2953,48.1954766,11.5926979
2954,60.2201086,24.8701946
2957,48.7039237,6.1409437
2966,-25.928153,28.1418086
2967,-33.970872,18.465223
2968,51.5188705,7.3741684
2972,47.7561376,10.3166624
2973,51.2670946,6.8174322
2975,48.574041,39.307815
3008,48.9280308,2.3520324
3009,57.63696,39.876352
3011,52.9893248,18.6660783
3022,49.2336944,4.0345399
3024,43.480232,-80.5510907
3027,44.481718,26.120606
3033,45.85347,8.948091
3041,51.1939616,14.3460768
3042,52.5457514,13.4228576
3043,35.6674565,139.7451371
3045,-33.9208487,151.1884302
3049,1.2953133,103.7898559
3050,58.3936951,15.5757907
3053,43.2924349,5.4952833
3054,40.5146179,-3.3386556
3056,41.4896391,2.1233146
3062,-33.55882,-70.57525
3063,44.760615,20.4928708
3066,-38.7183177,-62.2663478
3067,46.4827008,11.3311769
3071,1.2953133,103.7898559
3072,1.4291791,103.7984024
3077,8.9835507,-79.5216809
3080,-34.7250747,-55.9466896
3083,54.6883208,25.215407
3087,33.7773412,-84.3973296
